track_name,artist_name,release_date,genre,cluster
cu cu ru cu cu paloma,harry belafonte,1957,pop,1
cordelia brown,harry belafonte,1957,pop,16
dear heart,andy williams,1957,pop,13
completely sweet,eddie cochran,1957,pop,13
sittin' in the balcony,eddie cochran,1957,pop,13
a time for us,andy williams,1957,pop,16
soft sands,the chordettes,1957,pop,13
(where do i begin) love story,andy williams,1957,pop,16
canadian sunset,andy williams,1957,pop,13
kisses sweeter than wine,jimmie rodgers,1957,pop,13
eddie my love,the chordettes,1957,pop,4
come home to my arms,the chordettes,1957,pop,13
love never changes,the chordettes,1957,pop,16
tumsa nahin dekha,mohammed rafi,1957,pop,1
i can't love you enough,lavern baker,1957,pop,13
choopula kalasina subhavela,ghantasala,1957,pop,17
i'm alone because i love you,eddie cochran,1957,pop,1
i've grown accustomed to her face,johnny mathis,1957,pop,16
speak softly love,andy williams,1957,pop,16
teen age goodnight,the chordettes,1957,pop,13
"love, love alone",harry belafonte,1957,pop,1
now i know,the keynotes,1957,pop,1
tell me you love me,the keynotes,1957,pop,16
still,lavern baker,1957,pop,13
i don't know,the keynotes,1957,pop,17
suno sunaoon tumhen ek kahani,pradeep kumar,1957,pop,17
i'll see you in my dreams,norrie paramor,1957,pop,1
"i surrender, dear",les paul,1957,pop,1
titulos principio,esquivel!,1957,pop,4
in the middle of nowhere,the platters,1957,pop,18
you are too beautiful,the platters,1957,pop,15
that's all i need,lavern baker,1957,pop,15
aagaya veedhiyil,ghantasala,1958,pop,12
don't blame me,the platters,1958,pop,1
between the devil and the deep blue sea,perry como,1958,pop,17
in the garden,perry como,1958,pop,1
he's got the whole world in his hands,perry como,1958,pop,13
birth of the blues,perry como,1958,pop,2
where can i go?,johnny mathis,1958,pop,13
夢斷巫山,張露,1958,pop,16
你去了那裡,張露,1958,pop,2
mona lisa,frankie laine,1958,pop,1
inbamae pongumae,a. m. rajah,1958,pop,1
enna vendum,t. m. soundararajan,1958,pop,15
cowboy jackie,maria koterbska,1958,pop,1
unchained melody,ricky nelson,1958,pop,4
"rose, rose, i love you",frankie laine,1958,pop,1
talk to me something,bobby darin,1958,pop,13
there goes my baby,ricky nelson,1958,pop,11
"oh, so many years",the everly brothers,1958,pop,13
when i am with you,johnny mathis,1958,pop,13
i'll walk alone,ricky nelson,1958,pop,1
down the line,ricky nelson,1958,pop,4
yours,billy vaughn,1958,pop,13
all dressed up with a broken heart,jerry vale,1958,pop,1
changing all those changes,buddy holly,1958,pop,7
no love (but your love),johnny mathis,1958,pop,13
pretty betty,bobby darin,1958,pop,15
well...all right,buddy holly,1958,pop,4
"wonderful, wonderful",johnny mathis,1958,pop,13
i'm gonna love you too,buddy holly,1958,pop,14
sleigh ride,johnny mathis,1958,pop,9
the twelfth of never,johnny mathis,1958,pop,13
to be loved,jackie wilson,1958,pop,13
when sunny gets blue,johnny mathis,1958,pop,1
words of love,buddy holly,1958,pop,13
poor little fool,ricky nelson,1958,pop,8
high noon,frankie laine,1958,pop,16
"blue days, black nights",buddy holly,1958,pop,2
take your time,buddy holly,1958,pop,4
winter wonderland,johnny mathis,1958,pop,2
little baby,buddy holly,1958,pop,11
valley of tears,buddy holly,1958,pop,16
diana,frankie lymon,1958,pop,13
long time gone,the everly brothers,1958,pop,4
roving gambler,the everly brothers,1958,pop,17
listen to me,buddy holly,1958,pop,13
you are my one desire,buddy holly,1958,pop,13
love me,buddy holly,1958,pop,11
love letters,perry como,1958,pop,1
drifting away from you,the drifters,1958,pop,1
moonlight bay,the drifters,1958,pop,2
i'll take you home again kathleen,the platters,1958,pop,18
my serenade,the platters,1958,pop,13
sleepy time gal,the platters,1958,pop,4
try a little tenderness,the platters,1958,pop,16
"god rest ye merry, gentlemen",mantovani,1958,pop,12
all of me,jerry vale,1958,pop,1
that old feeling,the platters,1958,pop,18
for the first time,the platters,1958,pop,4
believe what you say,ricky nelson,1958,pop,11
my bucket's got a hole in it,ricky nelson,1958,pop,9
jealousy (jalousie),frankie laine,1958,pop,1
it's raining outside,the platters,1958,pop,1
good night irene,jerry lee lewis,1958,pop,9
blue christmas,johnny mathis,1958,pop,2
whispering wind,the platters,1958,pop,2
as long as i live,jackie wilson,1958,pop,16
right now!,jackie wilson,1958,pop,4
granada,frankie laine,1958,pop,18
your cheatin' heart,frankie laine,1958,pop,1
but not like you,the platters,1958,pop,15
danny boy,jackie wilson,1958,pop,2
that's my desire,frankie laine,1958,pop,13
don't leave me,ricky nelson,1959,pop,11
"promises, promises",jerry vale,1959,pop,13
moonglow,jerry vale,1959,pop,16
i belong to you,neil sedaka,1959,pop,13
crying my heart out for you,neil sedaka,1959,pop,13
moon of gold,neil sedaka,1959,pop,18
i waited too long,neil sedaka,1959,pop,1
forty winks away,neil sedaka,1959,pop,1
no vacancy,neil sedaka,1959,pop,9
blood from a stone,ricky nelson,1959,pop,11
going home to mary lou,neil sedaka,1959,pop,14
i'm walkin',cliff richard & the shadows,1959,pop,18
i've got you under my skin,shirley bassey,1959,pop,1
walk with me,neil sedaka,1959,pop,1
as long as i live,neil sedaka,1959,pop,13
the same old fool,neil sedaka,1959,pop,7
love is all,jackie wilson,1959,pop,1
shiva shankari shivananda,ghantasala,1959,pop,18
i wish your picture was you,lloyd price,1959,pop,16
stairway to the sea (scalinatella),johnny mathis,1959,pop,18
embraceable you,johnny mathis,1959,pop,11
let's love,johnny mathis,1959,pop,13
oceano,tony dallara,1959,pop,1
منك بخاف,rania,1959,pop,8
let it snow! let it snow! let it snow!,ira ironstrings,1959,pop,0
back in your own back yard,brenda lee,1959,pop,1
you better go now,johnny mathis,1959,pop,16
i'm just a boy in love,johnny mathis,1959,pop,16
secret love,johnny mathis,1959,pop,16
where are you?,johnny mathis,1959,pop,13
faithfully,johnny mathis,1959,pop,13
have yourself a merry little christmas,connie francis,1959,pop,8
i'll be home for christmas,connie francis,1959,pop,2
"touch me, lord jesus",lavern baker,1959,pop,13
happiness,jackie wilson,1959,pop,1
"only you, only me",jackie wilson,1959,pop,11
it's all a part of love,jackie wilson,1959,pop,19
superman,the brothers four,1959,pop,17
angelique-o,the brothers four,1959,pop,8
the damsel's lament (i never will marry),the brothers four,1959,pop,16
i'll be easy to find,johnny mathis,1959,pop,18
prisoner of love,the platters,1959,pop,1
if i didn't care,the platters,1959,pop,1
as time goes by,the flamingos,1959,pop,17
when i fall in love,johnny mathis,1959,pop,1
i'll never smile again,the platters,1959,pop,1
mama,connie francis,1959,pop,8
rockin' all night,ritchie valens,1959,pop,8
i got the blues,dion & the belmonts,1959,pop,2
through a long and sleepless night,bobby darin,1959,pop,1
sweeter than you,ricky nelson,1959,pop,13
no one knows,dion & the belmonts,1959,pop,1
non dimenticar,connie francis,1959,pop,13
turn! turn! turn! (to everything there is a season),the byrds,1959,pop,18
mrs. robinson,simon & garfunkel,1959,pop,8
yellow bird,the brothers four,1959,pop,15
stay beside me,ritchie valens,1959,pop,1
just you,dion & the belmonts,1959,pop,17
you mean everything to me,neil sedaka,1959,pop,13
i'm walkin',fats domino,1959,pop,11
lonely teardrops,jackie wilson,1959,pop,11
oh! carol,neil sedaka,1959,pop,7
lonesome town,ricky nelson,1959,pop,1
blueberry hill,fats domino,1959,pop,13
ain't that a shame,fats domino,1959,pop,1
smoke gets in your eyes,the platters,1959,pop,1
a teenager in love,dion & the belmonts,1959,pop,1
we belong together,ritchie valens,1959,pop,2
winter wonderland,connie francis,1959,pop,2
paddiwack song,ritchie valens,1959,pop,2
boulevard of broken dreams,esquivel!,1959,pop,1
it's late,ricky nelson,1959,pop,4
i'll remember april,bobby darin,1959,pop,13
my darling is gone,ritchie valens,1959,pop,1
"music, maestro, please!",the flamingos,1959,pop,2
that's my desire,dion & the belmonts,1959,pop,13
fool fool fool,the clovers,1959,pop,1
all about you,the clovers,1959,pop,3
the marching saints,harry belafonte,1959,pop,9
i must be dreaming,neil sedaka,1959,pop,13
one minute to one,ricky nelson,1959,pop,4
you alone,connie francis,1959,pop,13
all of me,esquivel!,1959,pop,17
love in bloom,the platters,1959,pop,16
all i need is you,neil sedaka,1959,pop,19
tonight,johnny mathis,1959,pop,4
call me,johnny mathis,1959,pop,16
run samson run,neil sedaka,1959,pop,1
half breed,ricky nelson,1959,pop,17
i have but one heart,connie francis,1959,pop,18
baby face,brenda lee,1959,pop,11
sama kama wacky brown,the brothers four,1959,pop,1
the sound of silence,simon & garfunkel,1959,pop,18
one way ticket,neil sedaka,1959,pop,2
don't pity me,dion & the belmonts,1959,pop,1
swing low,harry belafonte,1959,pop,2
another sleepless night,neil sedaka,1959,pop,4
it ain't necessarily so,bobby darin,1959,pop,16
stranger in paradise,johnny mathis,1959,pop,1
that's the way love is,bobby darin,1959,pop,17
a ride on a rainbow,johnny mathis,1959,pop,16
someone,johnny mathis,1959,pop,13
you've made me so very happy,"blood, sweat & tears",1959,pop,11
someone to need me (as i need you),jackie wilson,1959,pop,19
i can't help it (if i'm still in love with you),ricky nelson,1959,pop,8
it's all in the game,ricky nelson,1959,pop,1
your cheating heart,jerry lee lewis,1960,pop,11
the japanese farewell song,sam cooke,1960,pop,13
i am a roving gambler,the brothers four,1960,pop,9
christmas auld land syne,bobby darin,1960,pop,2
"lakutshn, ilanga",miriam makeba,1960,pop,1
"oh, true love",the everly brothers,1960,pop,11
you thrill me (through and through),the everly brothers,1960,pop,13
three nights a week,fats domino,1960,pop,4
with my eyes wide open i'm dreaming,patti page,1960,pop,1
don't come knockin',fats domino,1960,pop,11
september song,brook benton,1960,pop,16
you belong to my heart,the flamingos,1960,pop,1
a hole in the bucket,harry belafonte,1960,pop,13
sweet leilani,sam cooke,1960,pop,13
memories are made of this,the everly brothers,1960,pop,16
some sweet day,the everly brothers,1960,pop,13
at night,the flamingos,1960,pop,17
guys and dolls,bobby darin,1960,pop,3
"a woman, a lover, a friend",jackie wilson,1960,pop,13
"theme from ""la fayette""",the brothers four,1960,pop,16
summertime in venice,connie francis,1960,pop,2
tell me how long,the flamingos,1960,pop,1
steal your heart away,the moody blues,1960,pop,1
when i fall in love,the flamingos,1960,pop,1
one more dance,miriam makeba,1960,pop,8
tenderly,the flamingos,1960,pop,9
it's the talk of the town,fats domino,1960,pop,1
blueberry hill,brenda lee,1960,pop,13
teach me tonight,brenda lee,1960,pop,16
moonlight on the colorado,the platters,1960,pop,4
don't blame me,johnny mathis,1960,pop,1
saathi na koi manzil,mohammed rafi,1960,pop,16
i had a notion,ike & tina turner,1960,pop,16
little jazz,si zentner,1960,pop,13
circulate,neil sedaka,1960,pop,9
sweet little you,neil sedaka,1960,pop,8
king of clowns,neil sedaka,1960,pop,11
look inside your heart,neil sedaka,1960,pop,15
somebody to love,bobby darin,1960,pop,14
smile,neil sedaka,1960,pop,1
lonely guitar,annette funicello,1960,pop,2
you always hurt the one you love,fats domino,1960,pop,1
chances are,ike & tina turner,1960,pop,17
sleepless,ike & tina turner,1960,pop,1
i love you,annette funicello,1960,pop,15
bobby sox to stockings,frankie avalon,1960,pop,15
the wanderer,eden ahbez,1960,pop,16
(ain't that) good news,sam cooke,1960,pop,14
changing partners,patti page,1960,pop,13
good times,sam cooke,1960,pop,4
always it's you,the everly brothers,1960,pop,13
just ask your heart,frankie avalon,1960,pop,13
so sad (to watch good love go bad),the everly brothers,1960,pop,1
keep movin' on,sam cooke,1960,pop,8
sleepless nights,the everly brothers,1960,pop,1
walking to new orleans,fats domino,1960,pop,16
soul,sam cooke,1960,pop,2
unchained melody,sam cooke,1960,pop,1
sweet nothin's,brenda lee,1960,pop,13
breaking up is hard to do,neil sedaka,1960,pop,1
you send me,sam cooke,1960,pop,13
nothing can change this love,sam cooke,1960,pop,16
mio amore,the flamingos,1960,pop,13
my girl josephine,fats domino,1960,pop,16
devil or angel,bobby vee,1960,pop,17
i'm through with love,dion & the belmonts,1960,pop,16
love hurts,the everly brothers,1960,pop,1
harbor lights,the platters,1960,pop,13
chain gang,sam cooke,1960,pop,8
jamaica farewell,sam cooke,1960,pop,1
"you, you, you",sam cooke,1960,pop,13
far away places,sam cooke,1960,pop,1
girl of constant sorrow,joan baez,1960,pop,16
a lover's prayer,dion & the belmonts,1960,pop,1
under paris skies,sam cooke,1960,pop,18
mockin' bird hill,patti page,1960,pop,2
secret love,sam cooke,1960,pop,1
venus,sam cooke,1960,pop,13
bridge of tears,the flamingos,1960,pop,1
cross over the bridge,patti page,1960,pop,16
return to me,connie francis,1960,pop,16
the song from moulin rouge,sam cooke,1960,pop,13
you're nobody til somebody loves you,sam cooke,1960,pop,16
all the words in the world,neil sedaka,1960,pop,7
all the things you are,dion & the belmonts,1960,pop,13
the great pretender,sam cooke,1960,pop,1
i went to your wedding,patti page,1960,pop,1
heading home,brenda lee,1960,pop,1
fools rush in,brook benton,1960,pop,1
i'll wait for you,frankie avalon,1960,pop,13
mona lisa,sam cooke,1960,pop,1
falling in love,sam cooke,1960,pop,8
cincinnati fireball,johnny burnette,1960,pop,13
don't lead me on,neil sedaka,1960,pop,16
swinging on a star,dion & the belmonts,1960,pop,2
mary hamilton,joan baez,1960,pop,17
the jet,chubby checker,1961,pop,12
i'm old fashioned,andy williams,1961,pop,2
"come to me, bend to me",andy williams,1961,pop,12
just friends,bobby darin,1961,pop,1
my mammy,the everly brothers,1961,pop,18
cry,brenda lee,1961,pop,2
blue holiday,the shirelles,1961,pop,2
mister sandman,bobby vee,1961,pop,18
paper doll,brian hyland,1961,pop,1
"love me, love me",ben e. king,1961,pop,4
the dance is over,the shirelles,1961,pop,15
maid of constant sorrow,judy collins,1961,pop,16
a heart like mine,the miracles,1961,pop,15
don't leave me,the miracles,1961,pop,1
the search,del shannon,1961,pop,2
the twelfth of never,andy williams,1961,pop,13
long lonely nights,bobby vee,1961,pop,17
baby face,brian hyland,1961,pop,11
how long has this been going on,connie francis,1961,pop,1
joy joy joy,little richard,1961,pop,1
light infatuation,bobby vee,1961,pop,16
how many tears,bobby vee,1961,pop,7
love is a many splendored thing,shirley bassey,1961,pop,13
when i grow too old to dream,the everly brothers,1961,pop,16
it's mine,the shirelles,1961,pop,7
what a sweet thing that was,the shirelles,1961,pop,13
mona lisa,johnny burnette,1961,pop,13
oh lonesome me,johnny burnette,1961,pop,2
paper tiger,sue thompson,1961,pop,17
am i blue,les paul,1961,pop,2
إلى حبيبى تسجيل حفلة,najat al saghira,1961,pop,16
your cheatin' heart,les paul,1961,pop,1
long ago and far away,bobby darin,1961,pop,18
the more i see you,bobby darin,1961,pop,16
bully of the town,the everly brothers,1961,pop,9
muskrat,the everly brothers,1961,pop,17
"hi-lili, hi-lo",the everly brothers,1961,pop,2
the song is ended (but the melody lingers on),sam cooke,1961,pop,18
blue avenue,roy orbison,1961,pop,8
rock house,roy orbison,1961,pop,8
hello josephine,jerry lee lewis,1961,pop,16
perfidia,ben e. king,1961,pop,1
so long baby,the marvelettes,1961,pop,11
i'm gonna stay,mary wells,1961,pop,4
earth angel,bobby vee,1961,pop,12
footsteps,steve lawrence,1961,pop,1
they call the wind maria,sam cooke,1961,pop,2
i'm hurtin',roy orbison,1961,pop,19
misery,del shannon,1961,pop,12
saved,lavern baker,1961,pop,19
the watusi,chubby checker,1961,pop,19
you belong o me,sam cooke,1961,pop,2
if i had you (i'd be happy),sam cooke,1961,pop,11
lollipop,bobby vee,1961,pop,13
dum dum,brenda lee,1961,pop,2
raindrops,dee clark,1961,pop,18
(i'd be) a legend in my time,roy orbison,1961,pop,16
come closer to me,ben e. king,1961,pop,13
life is but a dream,dion,1961,pop,16
"swing low, sweet chariot",sam cooke,1961,pop,2
you're sixteen,johnny burnette,1961,pop,13
rubber ball,bobby vee,1961,pop,11
you're always on my mind,sam cooke,1961,pop,1
dream lover,dion,1961,pop,13
only the lonely,roy orbison,1961,pop,14
runaway,del shannon,1961,pop,1
angelina,harry belafonte,1961,pop,2
lonely teenager,dion,1961,pop,2
more than i can say,bobby vee,1961,pop,7
it had to be you,bobby darin,1961,pop,16
the majestic,dion,1961,pop,19
he will break your heart,jerry butler,1961,pop,15
raindrops,roy orbison,1961,pop,1
emotions,brenda lee,1961,pop,1
lonely world,dion,1961,pop,1
i can't stop loving you,roy orbison,1961,pop,1
happy days,the marvelettes,1961,pop,16
devil doll,roy orbison,1961,pop,1
jody,del shannon,1961,pop,2
"goodnight, irene",les paul,1961,pop,7
will you love me tomorrow,brenda lee,1961,pop,4
my one and only love,dion,1961,pop,13
you don't want my love,the shirelles,1961,pop,17
this kind of love,roy orbison,1961,pop,7
sweet and easy to love,roy orbison,1961,pop,13
nobody but you,dee clark,1961,pop,13
"cold, cold heart",jerry lee lewis,1961,pop,1
won't you take me back,the miracles,1961,pop,19
tammy,andy williams,1961,pop,13
dream lover,johnny burnette,1961,pop,13
danny boy,andy williams,1961,pop,2
bally mena,harry belafonte,1961,pop,17
wanted man,frankie laine,1961,pop,17
when i fall in love,brenda lee,1961,pop,1
land of the sea and sun,harry belafonte,1961,pop,16
twenty-two days,roy orbison,1961,pop,1
out in the cold again,sam cooke,1961,pop,1
but not for me,sam cooke,1961,pop,1
please forgive me,mary wells,1961,pop,7
angel in my heart,brian hyland,1961,pop,1
day dreams,del shannon,1961,pop,1
oh i apologize,the marvelettes,1961,pop,17
hey little girl,dee clark,1961,pop,15
fools rush in,dion,1961,pop,1
the stroll,chubby checker,1961,pop,2
bad boy,mary wells,1961,pop,15
havin' fun,dion,1961,pop,1
cherished memories,eddie cochran,1962,pop,1
i'll be there,bobby darin,1962,pop,8
blue skies,bobby darin,1962,pop,2
lost for sure,dion,1962,pop,17
you should know,the marvelettes,1962,pop,1
love again,eddie cochran,1962,pop,1
"hi-lilli, hi-lo",shelley fabares,1962,pop,2
dreamer,the lettermen,1962,pop,13
two wrongs don't make a right,mary wells,1962,pop,1
lonely,eddie cochran,1962,pop,1
little angel,eddie cochran,1962,pop,8
your heart belongs to me,the supremes,1962,pop,1
boll weevil song,eddie cochran,1962,pop,9
what's a matter baby (is it hurting you),timi yuro,1962,pop,7
blueberry hill,the lettermen,1962,pop,13
run to her,little eva,1962,pop,13
king without a queen,dion,1962,pop,16
remember you're mine,pat boone,1962,pop,13
lessons in love,cliff richard & the shadows,1962,pop,13
breaking up is hard to do,shelley fabares,1962,pop,1
if dreams came true,pat boone,1962,pop,13
don't forbid me,pat boone,1962,pop,13
(i get so) sentimental,roy orbison,1962,pop,1
the hucklebuck,chubby checker,1962,pop,8
ain't that a shame,pat boone,1962,pop,1
run to him,bobby vee,1962,pop,13
always,bobby darin,1962,pop,16
(i've got to) cry over you,the marvelettes,1962,pop,4
earth angel,johnny tillotson,1962,pop,12
sharing you,little eva,1962,pop,13
uptown,little eva,1962,pop,15
i sold my heart to the junkman,dee dee sharp,1962,pop,1
you alone (solo tu),jerry vale,1962,pop,13
(it's) wonderful to be young,cliff richard,1962,pop,16
let me in,the orlons,1962,pop,17
baby that's love,gene chandler,1962,pop,7
so many ways,gene chandler,1962,pop,13
from day to day,gene chandler,1962,pop,17
night life,roy orbison,1962,pop,18
here comes the night,ben e. king,1962,pop,1
you left me,gene chandler,1962,pop,1
never again,the supremes,1962,pop,1
play a sad song,the supremes,1962,pop,1
big john (ain't you gonna marry me),the shirelles,1962,pop,1
love letters,shelley fabares,1962,pop,1
dreamy eyes,johnny tillotson,1962,pop,18
all by myself,bobby darin,1962,pop,17
a fool never learns,andy williams,1962,pop,1
you're the one,chris montez,1962,pop,7
true love,shelley fabares,1962,pop,13
sealed with a kiss,shelley fabares,1962,pop,13
one hundred miles away from home,glen campbell,1962,pop,2
walkin' with my angel,bobby vee,1962,pop,15
sharing you,bobby vee,1962,pop,13
only you (and you alone),brenda lee,1962,pop,13
rocking blues,chris montez,1962,pop,11
your song,andy williams,1962,pop,16
donna the prima donna,dion,1962,pop,15
the ballad of bonnie & clyde,georgie fame,1962,pop,9
ecstasy,ben e. king,1962,pop,11
let's make a memory,roy orbison,1962,pop,11
"baby, let me follow you down",bob dylan,1962,pop,11
soldier boy,the shirelles,1962,pop,13
you're my desire,mary wells,1962,pop,13
the great pretender,roy orbison,1962,pop,1
"tonight, tonight",dion,1962,pop,13
what's so good about goodbye,smokey robinson & the miracles,1962,pop,14
evergreen,roy orbison,1962,pop,2
take good care of her,johnny tillotson,1962,pop,14
if i had a hammer,"peter, paul and mary",1962,pop,12
three coins in the fountain,andy williams,1962,pop,12
love is a many-splendored thing,andy williams,1962,pop,13
tonight,andy williams,1962,pop,16
love hurts,roy orbison,1962,pop,1
long lonely nights,bobby vinton,1962,pop,1
sealed with a kiss,bobby vinton,1962,pop,13
it's over,roy orbison,1962,pop,1
roses are red (my love),bobby vinton,1962,pop,2
crying in the rain,the everly brothers,1962,pop,1
mr. lonely,bobby vinton,1962,pop,1
stand by me,ben e. king,1962,pop,17
crying,roy orbison,1962,pop,1
blue on blue,bobby vinton,1962,pop,2
over and over,bobby vinton,1962,pop,16
the impossible dream (the quest),andy williams,1962,pop,16
running scared,roy orbison,1962,pop,1
i love how you love me,bobby vinton,1962,pop,13
love letters in the sand,pat boone,1962,pop,1
limbo rock,chubby checker,1962,pop,15
fixin' to die,bob dylan,1962,pop,17
the crowd,roy orbison,1962,pop,1
putty in your hands,the shirelles,1962,pop,15
smile,the lettermen,1962,pop,1
she wears my ring,roy orbison,1962,pop,15
summer song,roy orbison,1962,pop,2
twistin' in the kitchen with dinah,sam cooke,1962,pop,2
i promise love,ben e. king,1962,pop,1
wedding day,roy orbison,1962,pop,1
loddy lo,chubby checker,1962,pop,15
cry myself to sleep,del shannon,1962,pop,17
it might as well be spring,andy williams,1962,pop,2
autumn to may,"peter, paul and mary",1962,pop,2
i'll be home,pat boone,1962,pop,2
she cried,jay & the americans,1962,pop,1
gospel plow,bob dylan,1962,pop,8
if i had my way,"peter, paul and mary",1962,pop,17
halfway to paradise,bobby vinton,1962,pop,13
see that my grave is kept clean,bob dylan,1962,pop,17
gravy (for my mashed potatoes),dee dee sharp,1962,pop,11
when the girl in your arms is the girl in your heart,cliff richard,1962,pop,13
cherry hill park,billy joe royal,1962,pop,9
it keeps right on a-hurtin',johnny tillotson,1962,pop,1
somebody's gonna miss me,sam cooke,1962,pop,14
grow closer together,the impressions,1963,pop,4
shut down (mono),the beach boys,1963,pop,17
our car club,the beach boys,1963,pop,3
cry and you cry alone,lesley gore,1963,pop,16
o holy night,andy williams,1963,pop,1
white christmas,andy williams,1963,pop,16
operator,mary wells,1963,pop,4
ballad of ole' betsy,the beach boys,1963,pop,9
cry,lesley gore,1963,pop,13
